word,word,sig
“,”,3142.25
”,“,3142.25
,,dass,2513.79
dass,,,2513.79
zum Beispiel,Beispiel,2017.88
Beispiel,zum Beispiel,2017.88
zum,zum Beispiel,1933
zum Beispiel,zum,1933
gibt,gibt es,1836.95
gibt es,gibt,1836.95
Beispiel,zum,1506.38
zum,Beispiel,1506.38
Jahre alt,alt,1286.04
alt,Jahre alt,1286.04
es,gibt es,1249.7
gibt es,es,1249.7
gibt,es,1229.14
es,gibt,1229.14
nicht mehr,mehr,1144.73
mehr,nicht mehr,1144.73
Land,dem,1054.79
dem,Land,1054.79
dem,in dem,1045.19
in dem,dem,1045.19
Jahre,Jahre alt,1040.1
Jahre alt,Jahre,1040.1
Jahre,alt,954.99
alt,Jahre,954.99
es,gab,909.13
gab,es,909.13
nicht,nicht mehr,856.98
nicht mehr,nicht,856.98
Stadt,in der Stadt,853.43
in der Stadt,Stadt,853.43
in dem,in,784.92
in,in dem,784.92
Bayern München,München,775.99
München,Bayern München,775.99
Bayern,Bayern München,740.75
Bayern München,Bayern,740.75
Zum,Beispiel,723.38
Beispiel,Zum,723.38
League,Champions,678.51
Champions,League,678.51
„,“,641.04
“,„,641.04
nach dem,nach,629.81
nach,nach dem,629.81
sagte,:,623.88
:,sagte,623.88
München,Bayern,620.91
Bayern,München,620.91
als,mehr als,605.96
mehr als,als,605.96
Angela,Angela Merkel,587.97
Angela Merkel,Angela,587.97
viel,viel Geld,564.61
viel Geld,viel,564.61
viel Geld,Geld,554.69
Geld,viel Geld,554.69
mehr als,mehr,545.06
mehr,mehr als,545.06
nicht gut,gut,523.73
gut,nicht gut,523.73
Die Polizei,Polizei,513.98
Polizei,Die Polizei,513.98
hat,gewonnen,509.29
gewonnen,hat,509.29
in dem,Land,481.71
Land,in dem,481.71
noch,noch nicht,474.25
noch nicht,noch,474.25
Merkel,Angela Merkel,451.95
Merkel,Angela,451.95
Angela,Merkel,451.95
Angela Merkel,Merkel,451.95
Regierung,Die Regierung,441.23
Die Regierung,Regierung,441.23
Welt,der,428.3
der,Welt,428.3
,,sie,427.72
sie,,,427.72
Sebastian Vettel,Sebastian,427.55
Sebastian,Sebastian Vettel,427.55
weil,,,424.96
,,weil,424.96
der,Stadt,424.67
Stadt,der,424.67
Merkel,Bundes-Kanzlerin,419.7
Bundes-Kanzlerin,Merkel,419.7
:,sagen,417.06
sagen,:,417.06
Borussia Dortmund,Borussia,415.7
Borussia,Borussia Dortmund,415.7
um,geht,413.92
geht,um,413.92
die,,,413.02
,,die,413.02
nennt,man,401.46
man,nennt,401.46
in der Stadt,in,400.66
in,in der Stadt,400.66
ganzen,Welt,398.17
Welt,ganzen,398.17
richtig,nicht richtig,396.46
nicht richtig,richtig,396.46
1,zu 1,396.37
zu 1,1,396.37
lang,Jahre lang,391.69
Jahre lang,lang,391.69
Europäischen,Europäischen Union,391.46
Europäischen Union,Europäischen,391.46
hat,gesagt,388.95
gesagt,hat,388.95
:,gesagt,385.61
gesagt,:,385.61
vor allem,allem,381.77
allem,vor allem,381.77
dem,nach dem,378.96
nach dem,dem,378.96
an der,an,373.54
an,an der,373.54
in der Stadt,der,369.05
der,in der Stadt,369.05
Spiele,Olympischen Spiele,368.5
Olympischen Spiele,Spiele,368.5
Sebastian Vettel,Vettel,359.3
Vettel,Sebastian Vettel,359.3
Spiel,Das Spiel,357.97
Das Spiel,Spiel,357.97
Union,Europäischen Union,354.8
Europäischen Union,Union,354.8
nicht,noch nicht,351.08
noch nicht,nicht,351.08
man,kann,350.36
kann,man,350.36
nicht,mehr,343.69
mehr,nicht,343.69
Olympischen Spiele,Olympischen,343.56
Olympischen,Olympischen Spiele,343.56
Vettel,Sebastian,338.84
Sebastian,Vettel,338.84
Menschen,viele,336.51
viele,Menschen,336.51
In,dem,331.94
